navn,tlf
BISPENSGADE 10D ST,81719991
BISTRO V AALBORG APS,98164000
BOFFALO RESTAURANT,26500800
BONE´S RESTAURANTER A/S,98171030
BONES RESTAURANTER A/S,98171000
BØF OG VIN V/YU FAN ZENG,22111838
BRAVEHEART,91949972
BRONUTS DONUTS DANNEBROGSGADE,34111114
BUFFALO RESTAURANT,98432900
BURGER KING,33932811
CAFE AZZURRA APS,98164122
CAFE CAMPUS AAU,28405979
CAFE GOOD LIFE SOCIETY,25177720
CAFE LIVA IVS,20904360
CAFÉ MUNDTØJET APS,44109280
CAFE NØRREGADE,22810144
CAFE TORNHØJ,25782929
CAFE TRITON,30483278
CANS SMØRREBRØD & GRILL,42617051
CHICAGO ROAST HOUSE AALBORG,25707348
CHIDO MEXICAN GRILL AALBORG,61692152
CHOPN WOK APS,22818151
CSELGO,50657018
D-U-P APS,20672167
DAILYNAMFOOD APS,22116121
DAN´S POOLHALL APS,98121396
DEJAVÚ APS,22236711
DEN LILLE HAVFRUE,98136444
DENCKER & BILSTRUP IVS,28761178
DET GLADE VANVID AALBORG,86186400
DJS DINNER APS,30117770
DM AALBORG APS,53565600
DRIFTSSELSKABET AF 10.02. 2020 APS,30320965
DUCK IT ÅLBORG APS,22866700
EDUCAR APS,24647225
EL MUNDO,61786237
ELIANS KØKKEN,60714470
ERUM FOOD TRANSPORT,50102216
ESAAN APS,27575718
ESTEFANIA RUIZ,50298686
FARSTRUP HALLENS CAFETERIA,98686136
FÆTTER V APS,22647470
FISK & SKALDYR RESTAURANT,98342076
FOODIE IVS,41664564
GASTRINOMIA DEVENEZIA,52702840
GASTRONORTH APS,24835701
GÆSTGIVERGAARDEN GANDRUP A/S,98255050
GÆSTGIVERGAARDEN V/MICHAEL HØJER,98255050
GÆSTGIVERI PAPRIKA,98102035
GENG APS,71922268
GENG HOLDING APS,52733385
GHAFUR PIZZA,50652989
GISTRUP PIZZA,98314400
GOLFCAFÉEN HALS,98255050
HALS GRILL APS,98252500
HAPPY FRIENDS FRUGT & GRØNT,52640872
HCN PIZZA V/HÜSEYIN CELIK,98193405
HELMUTH APS,31191319
HENRY PEDERSEN,29886166
HIGHWAY 66 AALBORG,23235731
HOLY COWS APS,33454762
HOS NITCHANOK ASIAN SUPERMARKET,51152999
HOS TETZLAFF I/S V/NIELS TETZLAFF OG BIRGITTE TETZLAFF,98677191
HOUSA,25565658
IL MULINO,24647225
IL RISTORANTE FELLINI V/VINCENZO IANNONE,98113455
ISTALBUL KEBAB,52901843
JD SKY APS,71672115
JENSENS BØFHUS AALBORG CITY SYD,70304050
JENSENS BØFHUS AALBORG NYTORV,70304050
JET KROEN V/ANNE METTE REINAU,98172403
JULINS CAFE BEDSTE APS,22191099
KARMA SUSHI AALBORG,98147400
KATJAS SANDWICH & SALATBAR,98102912
KLARUP KRO,29900670
KLARUPGÅRD,23462115
KMC UDLEJNING V/KWOK MAN CHENG,98137480
KOL OG GRILL,24649246
KOLDKÆR FERIECENTER - MORGENMADSREST.,24232294
KRISTIAN KROGSHAVE,98676718
KSV INVEST APS,23261520
LA DOLCE VITA IVS,40606424
LA LOCANDA DEI LIBERATI APS,23956515
LIFLI SUSHI,22676222
LITTLE INDIA APS,42550105
MAHADI HASAN,71846266
MAMAMOSS,41162824
MCDONALD´S AALBORG,41121841
MCDONALD´S NØRRESUNDBY,41121841
MCDONALD´S SKALBORG,41121841
MENENDEZ APS,29674522
MG CONSULT AF 1/3 2007 APS,20663171
MHANNA IVS,98121215
MIKMIK AUTENTISKETHAI KØKKEN,52400956
MIN FORRETNING V/EWA LAGODZKA,50146493
MIN FORRETNING V/JULIAN MORRIS RESTREPO,29123951
MY BUSINESS BY GOWTHAM MEDA VANAPRASAD,71353151
NADIAS PRODUKTIONSKØKKEN,98123123
NADIAS SALATBAR,98123123
NADIAS SANDWICH APS,98123123
NADIAS SANDWICH KENNEDY,98123123
NADIAS SANDWICH NØRRESUNDBY,98123123
NADIAS SANDWICH AALBORG STORCENTER,98123123
NADIAS SANDWICH BOULEVARDEN,98123123
NADIAS SANDWICH REBERBANSGADE,98123123
NAM FOOD APS,29674522
NIBE PIZZA & STEAK HOUSE,98353066
NORDKRAFT AZZURRA APS,98164122
NS DANMARK IVS,40222847
OK MAD & VIN,98137692
OKAERI APS,40604581
ON FYAH APS,60799626
Ø-CENTER EGHOLM & EGHOLM VESTERGAARD,98174722
ØRNEREDEN GOLF CAFE,98154296
ØSTERBRO PIZZERIA,52828370
PÅ FJORDEN,42500070
PAKHUSET AALBORG APS,40548420
PARTNERSELSKABET AF 22.01.2008,98442535
PAWEL JAN KOZIOL,71681746
PENNY LANE,98125800
PH AALBORG APS,50462459
PH REBERBANSGADE,50462459
PHO SAI GON,53860068
PIZZA KINGS,98790018
PIZZATIME,98144914
PIZZERIA ITALIANA SAPORI DITALIA,98129232
PRINSES JULIANA,98115566
RALLES MADSERVICE,50288859
RAW FOOD AALBORG,22784550
RAW JUICE & BREAKFAST - AALBORG,60166474
RESTAURANT BRDR. PRICE AALBORG,38420056
RESTAURANT FUSION A/S,35123331
RESTAURANT KRONBORG APS,98172775
RESTAURANT MEAT APS,20162491
RESTAURANT MEST APS,51905554
RESTAURANT ORKIDEEN APS,98158968
RESTAURANT PRINSES JULIANA A/S,98115566
RESTAURANT PROVENCE,98135133
RESTAURANT SANYA,22888163
RESTAURANT SHANKOU RUNNING SUSHI,98128589
RESTAURANT SVALEGÅRDEN,51905554
RESTAURANT TABU II APS,88196058
RESTAURANT VB APS,98138548
RESTAURANT VB V/ NINA PICHLER,98138548
RESTAURATIONSSELSKABET AF 11. AUGUST 2020 IVS,28766688
RESTAURATIONSSELSKABET AF 1969 A/S,98125499
RESTAURATIONSSELSKABET ALGADE 55 AALBORG APS,26844180
RISTORANTE IL MULINO,24647225
RIVERSIDE,98193000
ROCK NIELSEN A/S,98111420
ROSITAS ISMEJERI,52509752
ROTTEHULLET V/ JOHNNY ROMANIUS,96546444
RPR APS,53633039
RUSTIK FOOD APS,52800413
SALMAN IBN SIDDIQUE,52619733
SAN GIOVANNI,98113755
SANDROVIN,27834450
SILAS SCHOLDAN JESPERSGAARD,40733424
SIMMELODIES APS,28183041
SKAL PAVILLIONEN,98351290
SKIVUM KRAT CLAUS FISCHER,98666134
SKOVGAARDS RAALING V/STIG MOLGE,98253266
SMEDEKROEN,40987000
SØKROEN,98113708
SPORTSBAREN AALBORG,98126222
STORVORDE PIZZA & KEBABV V/ IMER BYTYQI,96360646
STRANDPAVILLIONEN I/S,98114187
STREET SUSHI - THE LIGHTHOUSE,26707723
SUNSET BOULEVARD AALBORG STORCENTER,98791791
SURDEJSBAGEREN,40828118
SUSHIFRESH AALBORG,53352543
SUSHISUSHI,50808034
SWEET DONUT APS,50127125
TAVERNA ZORBA V/MADALIN MARIUS CHIRITESCU,98113020
TEAM KARLOG APS,21252849
TEATER CAFE,96316038
TEMPO VESTERBRO AALBORG APS,31790890
TEXTUR - PRIVATE DINING,28347217
THE BURGER CONCEPT AALBORG,31381185
THE FISH PROJECT AALBORG,42787738
THE WHARF V/ IAN RUSSELL,98117010
THORVALDS APS,50142209
TONYS.PIZZA.IVS,98116025
TORVEKROEN,52403535
UBAT VEGGIE BY TABU,91171819
URBAN CAFÉ OG BAR APS,20921644
VACA ØSTERÅGADE,98486655
VEJGAARDHALLENS RESTAURANT V/FREDE ALLAN HANSEN,98138877
VESTER HASSING KRO & KULTURHUS,40855275
VINO Y PINTXOS,27830054
VODSKOV KRO APS,98233072
VODSKOV KULTUR & IDRÆTSCENTER,98293466
WE FEAT BOULEVARDEN AALBORG APS,60125910
WILDEBEEST AALBORG APS,61706540
WILDEBEEST GASTROPUB,53616540
WOK & BAR APS,42550105
XCENTRISK FROKOSTORDNING IVS,31500195
XCENTRISK IVS,31500195
YAMI PIZZA OG GRILL,91423514
YOGO AALBORG NYTORV APS,40855868
YUMMI,53655368
01.02.19 APS,25941042
3XJ ADMINISTRATION,40959326
57B APS,98144503
AALBORG REGNSKABSKONTOR APS,98132300
AALBORG REGNSKABSKONTOR I/S,98132300
ABN BOGFØRING APS,30285664
AT WORK V/ANNA HYUN MILTERSEN,25853265
AVANCE BOGFØRING & REVISION V/ANNETTE GREGERSEN,22504099
BACHBOOK,27126276
BDO STATSAUTORISERET REVISIONSAKTIESELSKAB,96347300
BECH ADMINISTRATION APS,42768938
BEIERHOLM,98187200
BEIERHOLM STATSAUTORISERET REVISIONSPARTNERSELSKAB,98187200
BENICON APS,22800329
BENTE AMMITZBØLL - ØKONOMI,40216678
BJARKE KJÆR REGISTRERET REVISIONSANPARTSSELSKAB,98750244
BKJ REGISTRERET REVISIONS HOLDING ANPARTSSELSKAB,98750244
BL BOGFØRING V/BERTHA LARSEN,98271665
BOGFØRING NORD V/ANNY SØRENSEN,26687848
BOGFØRINGSSERVICE V/GRETHE GERTSEN,98191820
BOGHOLDERIET V/HEIDI REICHSTEIN,96377799
BOOKKEEP V/SUSANNE NØRGAARD,98185555
BRP REGNSKAB,93100990
C J REGNSKAB V/CONNY JENSEN,98383104
CC ADMINISTRATION APS,40556705
CLS BOGFØRING OG VIKARSERVICE,21461390
CNN INVEST APS,98139991
CS ACCOUNT,29886929
CT REGNSKABSSERVICE V/CLAUS THOMSEN,98298871
CVO MANAGEMENT,20435860
DANREGNSKAB,98131703
DANSK REVISION AALBORG GODKENDT REVISIONSAKTIESELSKAB,98183344
DELOITTE STATSAUTORISERET REVISIONSPARTNERSELSKAB,36102030
DET STEMMER!,61671109
DIN SEKRETÆR IVS,29135747
ECONOMIC SOLUTIONS,25207560
ECONTA CONSULTING GROUP P/S,72119188
ECONTA V/ ANDERS M. NIELSEN,22208700
ERATIO APS,22466010
ERIK NIELSEN,98173771
ERLING JENSEN REVISIONSANPARTSSELSKAB,98318855
ESSET REVISIONSVIRKSOMHED,98256681
EY GODKENDT REVISIONSPARTNERSELSKAB,73233000
FH CONSULTING REGNSKABS- & KONSULENTVIRKSOMHED,20853936
FHJ REVISION V/F. HOVE JØRGENSEN,98125615
FINANSLABORATORIET,31163477
FLEMMING KIRKETERP-MØLLER,20986717
FLEXACCOUNT V/GUDMUND BJARNE NIELSEN,21780343
GO FIGURE! IVS,20140598
GR ØKONOMI,22163850
HASSERIS BOGFØRING OG REVISION APS,64638385
HENNING MØLLER,21613062
HR PEDER PINSTRUP,98351868
IORGANIZE,60156451
JCC KONTORASSISTANCE,28942402
JEPE CONSULTING APS,22582090
JP ADMINISTRATION APS,50817873
JSA BOGHOLDER,60612976
KAJ PALSGÅRD ANDERSEN,98381744
KARIN RUBIEN REVISION,98189101
KGP BOGFØRING IVS,41787120
KINGOS BOGHOLDERI APS,60183951
KINGOS BOGHOLDERI V/PIA JACOBSEN,60183951
KJÆR & SKRIVER,30422722
KJELDSEN BILER NØVLING,26508445
KL CONSULT VODSKOV APS,21263077
KLITGAARD REVISION APS,51884009
KOLDKJÆR REGNSKABSASSISTANCE V/TINA KOLDKJÆR,98353383
KOLLER CONSULT V/ PETER KONDRUP STEEN,60629506
KONSULENTFIRMAET TIN SØRENSEN,98357218
KONTOR-SERVICE V/IRENE SVENSSON,98142004
KONTORET9000 APS,30286255
KRONBORGS REVISION APS,98297117
KRONBORGS REVISION V/FINN KRONBORG,98297117
KVIST & JENSEN STATSAUTORISERET REVISIONSPARTNERSELSKAB,98103077
KVIST & JENSEN AALBORG STATSAUTORISEREDE REVISORER A/S,98103077
LAMPE INVEST APS,61616129
LFM SERVICE APS,20920192
LINDHARDT RÅDGIVNING APS,53809470
LINDHOLM BOGFØRING V/BIRGIT CHRISTENSEN,40538297
LJ ACCOUNT,20933444
LMP ØKONOMI & REKRUTTERING V/LISE MØLLER PEDERSEN,20893480
LV REGNSKABSSERVICE,51204070
LYN-REGN APS,24649246
LYSGAARD & DANIELSEN,40710942
M J BOGHOLDERI V/MAGGIE BRYANT,20423396
M.S.BOGHOLDERI,28835424
MADSGAARD HOLDING APS,22428404
MATRIX ERP SUPPORT APS,98632626
MATRIX SUPPORT APS,98632626
MBCACCOUNT V/MARIANN BRUUN CHRISTIANSEN,22220586
METTE HVIDBERG,25772526
MJ BOGHOLDERI,30153112
ML BALANCE V/ MARIANN LYNGHOLM,98256868
MN REVISION V/STATSAUT. REVISOR MOGENS NIELSEN,98141404
MOSES LAMETSCH,26802181
MW-BOGHOLDERIET,40789544
NAH REGNSKAB&REVISION,48421913
NB!,53581712
NEWTH APS,71701303
NORDJYSK REVISION EVALD RASK APS,98115522
NORDJYSK REVISION HJ APS,98115522
NØRBAK STATSAUTORISERET REVISIONSANPARTSSELSKAB,96330221
OK REGNSKAB V/ORLA KROGH,40134061
ON-ERKLÆRING APS,50117857
ONREVISION REGISTRERET REVISIONSANPARTSSELSKAB,98361500
OP10MAL SUPPORT  APS,39393113
PER USSING,21618296
PLUSREVISION - NORDJYLLAND APS,69145147
PLUSREVISION APS,69145147
PRICEWATERHOUSECOOPERS STATSAUTORISERET REVISIONSPARTNERSELSKAB,96354000
RDECONOMIC,40179436
REDMARK STATSAUTORISERET REVISIONSPARTNERSELSKAB,98183333
REGISTRERET REVISOR POUL SØRENSEN,98159015
REGISTRERET REVISOR VERNER FREUNDLICH LARSEN,98186100
REGNSKABS SERVICE V/ANNETTE P NIELSEN,98339565
REGNSKABSFIRMAET KRISTIAN MIKKELSEN,98189694
REGNSKABSKONSULENT MARIANN BACH JEPSEN,98317590
REKENSCOP,20771793
REVICOR GODKENDT REVISIONSANPARTSSELSKAB,98392139
REVISION AALBORG BENNY JOHANSEN,98141775
REVISION NORDJYLLAND APS,70701900
RÉVISION+ BNO APS,88447799
RÉVISION+ CONSULT APS,88447799
REVISION+ HOVEDSTADEN APS,88447799
RÉVISION+ REGNSKAB RÅDGIVNING OG SKAT STATSAUTORISERET REVISIONSAKTIESELSKAB,88447799
RÉVISION+ SKAT & MOMS APS,88447716
REVISION+ STATSAUTORISERET REVISIONSAKTIESELSKAB,88447799
RÉVISION+ STATSAUTORISERET REVISIONSAKTIESELSKAB AALBORG,88447799
RÉVISION+ STATSAUTORISERET REVISIONSAKTIESELSKAB NIBE,88447799
REVISIONSAKTIESELSKABET AF 1/12 1962,70238522
REVISIONSCENTRALEN I AALBORG APS,98123277
REVISIONSFIRMA PREBEN CHRISTIANSEN 1,26468930
REVISIONSFIRMAET C VESTERGAARD,20731030
REVISIONSFIRMAET JENS CARL NIELSEN REGISTRERET REVISIONSANPARTSSELSKAB,40411144
REVISIONSFIRMAET JØRGEN HEROLD APS,98185900
REVISIONSFIRMAET JØRGEN POULSEN APS,98113800
REVISIONSFIRMAET KARSTEN SJÆLLAND,98177711
REVISIONSFIRMAET KELD PEDERSEN APS,98261881
REVISIONSFIRMAET KIRCH ANDERSEN,40300127
REVISIONSFIRMAET OLE DAHL,61286529
REVISIONSFIRMAET PREBEN DALSGAARD,98161177
REVISOR NIELS FREDERIKSEN,98271904
REVISOR NIELS-ERIK ØSTERGAARD,40291720
REVISOR OLE NIELSEN BACH,98351055
REVISOR PREBEN CHRISTENSEN,98331817
REVISORFIRMAET JOHS MØLLER,98130170
RN - REVISION NORDJYLLAND APS,70701900
SAMU AT V/ADEL PETROS SAMU,20628630
SCHORS,41141319
SCHYTZ ADMINISTRATION,24626088
SKODA & PARTNER APS,98351444
SKOVBO REGNSKAB V/LENE LARSEN,22152930
SP ERHVERVSSERVICE V/SØREN POULSEN,61335614
STATSAUTORISERET REVISOR KRESTEN HYLDAHL,98353411
STATSAUTORISERET REVISOR SVEND GERLIF,96300199
STATUS REGNSKABSSERVICE V/BIRGITTE SAUER NIELSEN,60158068
STAUN REGNSKAB,50509019
STRUCTUR APS,98142590
STYR TALLENE,25214950
SUMMASUMMARUM REVISORE V/ADMIR ILIC,50459697
TALMENNESKER GODKENDT REVISIONSANPARTSSELSKAB,98170300
THRANE CONSULTING 2011 V/LARS THRANE,25375570
TL REVISION APS,23685546
TOTALADMINISTRATION APS,99342400
TPM KONSULENT SERVICE IVS,40682241
TRANBERGCONSULT.COM,27777301
TRL CONSULTING,22459495
TS REGNSKABSSERVICE V/TINA STØVRING,60196492
TS REVISION REGISTRERET REVISIONSANPARTSSELSKAB,98357277
TV REVISION REGISTREREDE REVISORER,98294421
UGGE HOLDING APS,22647560
UNIK ADMINISTRATION APS,42768938
VERIFICA STATSAUTORISERET REVISIONSVIRKSOMHED,35363356
VIBORG REVISION BØRGE NIELSEN,86600969
VIBS BOGFØRING V/VIBEKE MALVANG FRELLSEN,98183482
WAGNERS BOGHOLDERISERVICE,98185345
ZEUTHENS REGNSKABSSERVICE,60211383
ZONE V/ ASF,29555110
ALMUEN ANTIK V/JOHN FREDDY ANDERSEN,98113844
ANALOGUE APS,31166347
ANTIKVITETER OG GAMLE SAGER V/OLE BUUS LARSEN,98254620
ARKEM,21382846
ATHENA ANTIK V/ERIK KOCK,20804942
BLÅ KORS GENBRUG  AALBORG,86811500
BLÅ KORS GENBRUG GUG,29488639
BLÅ KORS GENBRUG NØRRESUNDBY,29488649
BLÅ KORS GENBRUG SKALBORG,98181899
BLÅ KORS GENBRUGSCENTER AALBORG,29400340
BLÅ KORSGENBRUG NØRRE UTTRUP,98192900
BUTIK GEJST,27575529
BYRHOLT V/MARY MØLGAARD,98296888
CYKEL20,86811500
DANISH MODERN,29720943
DANMISSION GENBRUG,39629911
DANSK ROMHANDEL,42404024
DANSK ROMHANDEL I/S,42404024
FOLKEKIRKENS NØDHJÆLPS GENBRUGSBUTIK,41887056
FRANDSEN GENBRUG,60671003
FROST HANDEL OG SERVICE,24450441
HASTRUP INTERIØR V/SUSANNE HASTRUP,98169495
KINNERUP ANTIK OG PORCELÆN V/OLE NØRMØLLE,26364017
KIRKENS KORSHÆR GENBRUG AALBORG,98129454
KIRKENS KORSHÆR GENBRUG AALBORG GANDRUP,33121600
KIRKENS KORSHÆR GENBRUG AALBORG NIBE,33121600
KIRKENS KORSHÆR GENBRUG AALBORG NØRRESUNDBY,33121600
KIRKENS KORSHÆR GENBRUG AALBORG REBERBANSGADE,33121600
KIRKENS KORSHÆR GENBRUG AALBORG SØNDERGADE,98110298
KIRKENS KORSHÆR GENBRUG AALBORG VODSKOV,33121600
KIRKENS KORSHÆR GENBRUG GANDRUP,98129454
KIRKENS KORSHÆR GENBRUG HALS,98129454
KIRKENS KORSHÆR GENBRUG LINDHOLM,98129454
KIRKENS KORSHÆR GENBRUG NIBE,98353543
KIRKENS KORSHÆR GENBRUG REBERBANSGADE,98129454
KIRKENS KORSHÆR GENBRUG STORVORDE,33121600
KIRKENS KORSHÆR GENBRUG SVENDSTRUP,98120737
KIRKENS KORSHÆR GENBRUG SVENSTRUP,98129454
KIRKENS KORSHÆR GENBRUG VODSKOV,98129454
KRÆFTENS BEKÆMPELSE IGEN AALBORG,98664466
LÆSEHESTEN V/LARS CHRISTENSEN,98161928
LOPPER OG LÆKKERIER,71723405
LUKSUS LOPPEFUND,20613989
MARSKAND,22744744
MARSKANDISEREN V/LENE KRISTENSEN,30508710
MESSER OG MARKEDER,22251800
MIKKEL BORUP,23455902
MUTTIS GENBRUGSGULD,26819802
NO5 BROCANTE,53630265
NY SPRINGBORG GENBRUG,98259857
PILEGAARDS ANTIKVARIAT & MØNTHANDEL/JENS PILEGAARD,98139000
REDEN GENBRUG AALBORG,20205026
RØDE KORS AALBORG AFDELING,98104500
SAFEGROUND APS,52242000
SSEUM CLOTHING,31411265
TECHNO DK,91949692
TING PÅ TOPPEN,98144604
VEGGERBY BED & BREAKFAST,98387060
WEFOOD - AALBORG,50602039
BIANCO AALBORG CITY,52198219
BIANCO FOOTWEAR ÅLBORG STORCENTER,98188302
CLAES TØMRER OG BOLIGSERVICE APS,27144983
DANS OG DESIGN V/JEANNETTE SØNDERGAARD,22566827
DEICHMANN SKO - ÅLBORG KENNEDY,88809180
DEICHMANN SKO - ÅLBORG STORCENTER,88809173
ECCO AALBORG STORCENTER           ECCO SHOPS VESTDANMARK A/S        NY GADE 1.91,74911625
ERRANT APS,29609647
HAVANNA SHOES,40162555
HAVANNA SHOES AALBORG,40162555
HELLE SKO V/HELLE A JAKOBSEN,30548115
MYRRHØJ DETAIL APS,25264040
NEXT STEP,28153346
PAW SKO APS AALBORG STORCENTER,98791444
POP UP 205 (AALBORG),33343800
SCHOU BERTELSEN SKO A/S,34110625
SKANSE SKO V/BIRGIT SLOTH JENSEN,98250096
SKO&SKO/VODSKOV SKOMAGASIN,40194164
SKORINGEN,98188855
VEJGÅRD SKO APS,98133220
ZJOOS - VEJGAARD SKO APS,62264230
ANHS SYSTUE,40423631
HELENS SYSTUE1,71376199
KIM´S SYSTUE V/CUC T. HOANG NGUYEN,98173308
LAM MINH SY & TILSKÆRING,98169698
LE SYSTUE V/HOA LE LE,29723144
LENA SYSTUE,28147172
SAIGON SYSTUEN V/NGOC DIEP CHAU,98124677
SKRÆDDERI PÅ TOPPEN V/LIS TONI RATHCKE,98261576
SYSTUEN V/ANNI KIELGAST SCHJELDER,42524681
URMILAS SY & REPARATIONS SHOP,52780372
ÅLBORG SLAGTEGÅRDEN V/IBRAHIM GHARAMANI,98181515
BOXTOWN  F.M.B.A - KØD,41280180
DELIKATESSEN - ØSTERBRO,98103535
HD SLAGTER,53530914
IS HANDEL,31335152
LAHDELI MARKED,41144975
OASEN MINIMARKED,26707111
ONKEL KØD OG FISK APS,25572802
SLAGTER CARLSEN NØRRESUNDBY,98373599
SLAGTEREN OG KOKKEN I GISTRUP,98314036
TYLSTRUP SLAGTERFORRETNING,98261405
YOUR DAILY MARKET,42759001
A&R RÆKVÆRK IVS,26365452
AAGAARD SMEDETEKNIK,20785974
AALBORG ALTAN APS,30610455
AALBORG MASKINFABRIK STÅL APS,98102560
AALBORG PROFIL OG SMEDEVÆRKSTED APS,21665478
ALFA LAVAL AALBORG A/S,99304000
ANDERSEN METALWORKS AND FABRICATION V/MICHAEL ANDERSEN,40212555
AUTOSMEDEN V/BRIAN BUUS JENSEN,98371916
AVIATEC APS,98191233
B K M TEKNIK V/BRIAN KJÆR MØLDRUP,40751828
BACH FSQ V/FLEMMING BACH,42158810
BERITECH MANUFACTURING A/S,98777979
BERITECH MANUFACTURING A/S KYSTVEJEN AFDELING,98777979
BERITECH MANUFACTURING APS,97993354
BERITECH TANK A/S,98777979
BERITECH TANK A/S KYSTVEJEN AFDELING,98777979
BLADT INDUSTRIES A/S,96353700
BLADT/EEW OFFSHORE WIND FOUNDATION GROUP I/S,96353700
BRUNØ STÅL APS,98127154
CALVERT INSTALLATION,50366192
CN-FORMAT V/GERT CLEMMENSEN,98181068
DAN CUT APS,98101422
DANSK ALUMINIUMSINDUSTRI APS,23202335
DANSK MASKININDUSTRI A/S,41300300
DANSK RØR SERVICE APS,98389067
DREJERS SMED OG MONTAGE,51261203
EH-CONSULT,42757573
ESKO SMEDE & MONTAGE APS,25123000
ETM MASKINFABRIK APS,98174099
FABRIKANT JØRN PEDERSEN,98381470
FYNS KRAN UDSTYR A/S,98187463
GÅRDEJER LARS VOGELIUS CHRISTENSEN,98310421
GLOBAL BOILER SERVICE A/S,70277170
GODTHÅB STÅLMONTAGE,23609292
H O SMED OG MONTAGE V/HENRIK OLSEN,98173409
HAGERUP SMEDE. AALBORG A/S,98389272
HJ RUSTFRI STÅL APS,98109519
HP SMEDETEC V/HENRIK LYKKE PEDERSEN,98313540
J L SMEDIE/LANDMAND V/JENS LARSEN,98258095
J P REPARATION VODSKOV APS,98255445
JN SERVICE V/JAN NIELSEN,61262873
K.V SVEJS & MONTAGE,52501691
KC MONTAGE,51354175
KERMITECH APS,24242464
KM VANDSKÆRING APS,21755050
KONGERSLEV SMEDESERVICE,60182530
KROGHS MONT. V/KIM KROGH,98686262
LANDMAND JENS JØRGEN PEDERSEN,98250030
LARSEN OG JENSEN TEKNIK V/MAIBRITT LARSEN,98666422
LG MONTAGE A/S,98194544
LINDAB A/S,73232181
LP MONTAGE APS,26113548
MASKINFABRIKKEN ESKO A/S SMEDEAFDELING,98180591
MASKINFABRIKKEN FUGLSANGS EFTF. A/S,98326066
MASKINVÆRKSTEDET V/STEFFEN WILLY BOHNSTEDT,98175940
MEKANIKER BIRGER MICHAEL KRISTENSEN,98250008
MJ SERVICE /MARTIN GERTH JENSEN,29808950
MOOSDORF HEGN A/S,98159444
N.A. KYED AALBORG A/S,98172077
N.A. KYED. AALBORG A/S,98130077
N.R. STÅL MONTAGE I/S,41676797
NES MASKINFABRIK A/S,98110633
NES MASKINVÆRKSTED V/FRANK MOGENSEN,98110633
NORDJYSK STALDINVENTAR,60511487
NORDTURN MASKINFABRIK LERBÆKVEJ,50808082
NWT APS,82820500
OD WELDING APS,20925790
ØSTER HASSING SMEDE OG VVS A/S,98259050
P KRISTENSEN & SØNS EFTERFØLGERE V/MORTEN KROGH CHRISTENSEN,98255109
PH CONTRACTORS PHC A/S,20291191
PROTYP INDUSTRITEKNIK APS,30425542
RAVNS SMEDE OG MASKINVÆRKSTED V/PETER RAVN,98255883
REPARATIONSVIRKSOMHED V/ POUL-ERIKBJØRN,30364041
RIISE-ENERGI.DK,98353627
RS STÅL & MONTAGE APS,29939786
SAAB NORDIC DEFENCE INDUSTRIES A/S,98171818
SCHIER TRANSPORT,28693988
SKANDINAVISK INDUSTRIMONTAGE A/S,98135413
SMED KRISTIAN SVENSTRUP,98681881
SMEDEMESTER JESPER M. JENSEN,42735456
SØGAARDS SMEDE SERVICE,60210887
SPC INDUSTRI TEKNIK,25779491
T.J.WELDING SERVICE V/TIM JENSEN,98352438
TRAPUNIT APS,40570643
UG SERVICE & MONTAGE V/ULRIK GRYNDERUP SØRENSEN,98674062
VIKAREN,60559111
VODA A/S AALBORG,72407465
WAFTB IVS,26973597
WEICO INDUSTRIES APS,42257546
9000-DK-FISHING,22580666
ALFA TRADING,93899489
BOLDREPARATØREN V/JENS BRIX ANDERSEN,40293370
DISCIMPORT AALBORG,26853168
DYKKEREN V/PER JØRGENSEN,29212168
FRILUFTSLAND A/S,98163150
G&B PROSHOP I/S,26224687
GÅRDEJER/FORPAGTER OLE A. NIELSEN,98130068
GOLF EXPERTEN A/S,72161720
HANDBALANCE.DK,29104654
HORZE AALBORG V/LENE THRANE JENSEN,98111192
INTERSPORT OUTLET AALBORG,63103000
KAJAK & SURF,26493693
KRYSTALHULEN/MEMBERS-LOUNGE,26790589
LØBEREN AALBORG APS,98164148
LUND MOTION APS,50907575
LYNGSBOOTS V/SIMON LYNGS JENSEN,61684940
MADE BY MS APS,22920522
MTBLYGTER.DK IVS,98123498
NORTH DIVING ACADEMY V/ROLF THOMAS IVERSEN,20169967
NY FORM - HALS,96542484
OKKLU IVS,28719238
P FISHING,27204408
PERFORM AALBORG APS,98101705
PF ACTIVE,22211216
PRO GOLF SCANDINAVIA APS AALBORG,86270203
REZET AALBORG,43287200
SØRENS FISKEGREJ,24255396
SPEJDER SPORT A/S,98138733
SPORT 24 FRIIS AALBORG CITYCENTER,30213490
SPORT 24 NØRRESUNDBY,30213365
SPORT DRESS AALBORG A/S,98121624
SPORT MASTER AALBORG BISPENSGADE,98101414
SPORT MASTER AALBORG STORCENTER,43287200
SPORT OUTLET AALBORG,98152824
SPORT-TIME APS,98138077
SPORT24 AALBORG,98180407
SPORTMASTER LAGERSALG AALBORG,25705790
SPORTS SHOPPEN SÆBY,88822556
SPORTSMAGNETER.DK,20961313
AALBORG STENHUGGERI,75771866
DEN BETTE STENHUGGER IVS,23623730
NØRRESUNDBY STENHUGGERI,75771866
SKÆREMANDEN V/TOMMY FUNKE,60914379
STENHUGGEREN ÅLBORG APS,98180601
HASSERIS STUKKATØR OG MURERSERVICE V/VINCENT MC ALEENAN,98166376
0832 FAKTA ETERNITTEN,43864386
AALBORG VIN APS,20713030
